alpha	beta	alpha=beta	LRT	p-value	Total branch length
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	-1.467960249179612e-05	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	-1.325321280276626e-05	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	-1.182196398374913e-05	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
12.39854206060671	0.0	4.110243306641986	1.358981163658605	0.2437141329286896	0
0.0	0.0	0.0	0.0	1.0	0
4.38008194777793	0.0	2.811147818317578	0.7408992479013374	0.3893729692042111	0
0.0	0.0	0.0	-1.000178621168857e-05	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
2.68343897147127	0.0	2.088968621057713	0.4279694840728538	0.5129869771421605	0
0.0	0.0	0.0	0.0	1.0	0
1.336938784087538	0.0	0.86698400539994	0.8228495394677147	0.3643483427159123	0
0.9699830928284616	0.0	0.6945047091451666	0.6369334616610054	0.4248234214819171	0
0.0	0.0	0.0	0.0	1.0	0
0.9132197022833132	0.0	0.6305473767973158	0.6852969489120433	0.4077686844325121	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	2.242663090336149	0.6069567378080112	2.614795542294406	0.105871169934597	0
0.0	0.0	0.0	-1.349530921146425e-05	1.0	0
1.921779461672656	2.674273733877966	2.139176359740203	0.05918059114196339	0.8077957681202925	0
0.0	2.574224116585073	0.6351868471428926	2.764277585707241	0.0963901924179228	0
0.0	0.0	0.0	0.0	1.0	0
0.747155177273123	0.0	0.5602353201042778	0.5442510931021793	0.4606762558456335	0
0.9093650551473543	2.2436668403061	1.3022016832798	0.3782880341506072	0.5385208785114948	0
0.8272372368863341	0.0	0.6371304056917977	0.4910737551194408	0.4834487175471486	0
0.0	0.0	0.0	-1.098380313280245e-05	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
15.47466095016441	0.0	6.31834955483055	1.19345517108508	0.274633713722632	0
8.364512432134035	0.0	5.128493814648071	0.850634866418444	0.3563727992302116	0
0.0	0.0	0.0	0.0	1.0	0
4.36392193821562	0.0	2.601042044852445	0.7837469178236525	0.3759976432528003	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	-1.464407030837833e-05	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	2.587685492691667	0.625076825414821	2.699917889616358	0.1003534147548485	0
0.8929200419436836	0.0	0.6508049492281732	0.6104964393066368	0.4346009532354849	0
0.938629760518256	0.0	0.6691663312263313	0.6301413793111355	0.4273034598352826	0
1.882332576865216	0.0	1.347833433801847	1.256632545171115	0.2622894676922154	0
0.7992276518272509	0.0	0.5965423936205775	0.5504413004005073	0.4581374351341401	0
0.0	0.0	0.0	0.0	1.0	0
0.0	2.574224116585073	0.5752798567281434	2.969754713352946	0.08483471664436859	0
0.0	0.0	0.0	-1.233800936972784e-07	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.7823116605375913	0.0	0.6071810652618759	0.4798289611525988	0.488499800443842	0
0.0	0.0	0.0	0.0	1.0	0
1.001963666929489	0.0	0.7105012108271782	0.6735306213160008	0.411823373313828	0
0.0	0.0	0.0	0.0	1.0	0
0.0	5.387370979828635	2.69141081313537	2.8499615029118	0.09137612483166913	0
3.579711397730146	0.0	2.299365837232313	2.171281068311124	0.140609057753062	0
0.0	0.0	0.0	-8.912550406137143e-06	1.0	0
0.0	0.0	0.0	-2.303341809195558e-05	1.0	0
1.777441346551749	2.225348318277972	1.9848960697999	0.02214268683306742	0.881708144660943	0
0.0	1.904280737037209	1.63869590069157	0.286311989231919	0.5925936456628017	0
0.0	0.0	0.0	0.0	1.0	0
2.524947961117538	0.0	1.560529039962285	1.753959938709297	0.1853796864514192	0
0.8035215390123287	0.0	0.5994445603854931	0.5685511564578078	0.4508352232854943	0
0.0	0.0	0.0	-4.329058434748845e-05	1.0	0
1.375895324931842	0.0	0.9226351041514488	1.020115244213301	0.3124916745138877	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	-7.108921510123878e-06	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.8897693789634831	0.0	0.6263229410253197	0.6762014261342699	0.4108978263079576	0
19.12526155878694	0.0	5.300576288265204	6.286153173358066	0.01216848760985745	0
0.7837822006900318	0.0	0.5132069546643003	0.5204865635467328	0.4706342016618151	0
3.472967804637568	2.155079164353313	2.831138416620497	0.1219824652446349	0.7268942137629568	0
0.6926583643778773	2.663290650131023	1.365943886388203	0.56986810201834	0.4503113339272051	0
0.0	0.0	0.0	-1.282055586671049e-05	1.0	0
0.0	0.0	0.0	-1.350754368800722e-05	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.0	0.0	0.0	0.0	1.0	0
0.9210692501150063	0.0	0.6640025578022046	0.622263424468521	0.4302074249170318	0
1.903719225027018	0.0	1.353927013391574	1.267734305201675	0.2601921534418586	0
0.0	0.0	0.0	-2.666333180378899e-05	1.0	0
0.0	0.0	0.0	0.0	1.0	0
4.558461672361108	0.0	2.939350030764239	1.241608421644823	0.2651612968418606	0
4.358486786023978	0.0	2.516055720545626	2.620277155923581	0.1055060112539775	0
2.28055353873935	2.626902748267486	2.379868165840275	0.01228409156188093	0.9117482838288821	0
0.9855554774204883	2.450336314943491	1.420651905180219	0.3816817115596614	0.5367045842471445	0
0.0	0.0	0.0	0.0	1.0	0
